gpsheading,gpsaltitude,gpslatitude,verticalaccuracy,horizontalaccuracy,timestamp,gpsspeed,gpslongitude
283.0,4.0,0.0175164160207756,9.0,5.0,0.0,16.359375,0.00505935928488554
284.0,4.0,0.0175659374967693,9.0,5.0,1.02001953125,16.359375,0.0048143633719917
283.0,4.0,0.0175992644172424,9.0,5.0,2.005859375,16.4111328125,0.0046444932779508
283.0,4.0,0.0176337806304616,9.0,5.0,2.99365234375,16.4111328125,0.0044657504217298
283.0,4.0,0.0176686496856532,9.0,5.0,3.9873046875,16.4111328125,0.00428518036670766
283.0,4.0,0.0177035597466428,9.0,5.0,5.0068359375,16.4619140625,0.00410439796249306
283.0,4.0,0.0177382458634625,9.0,5.0,6.0126953125,16.6162109375,0.00392477525728907
283.0,4.0,0.0177738216263136,9.0,5.0,7.02734375,16.822265625,0.00374054550349001
283.0,4.0,0.0178091559256685,9.0,5.0,8.04931640625,16.7705078125,0.00356065924550819
283.0,4.0,0.0178464717220663,9.0,5.0,9.07080078125,16.7705078125,0.003372728590179
283.0,4.0,0.0178831875216758,9.0,5.0,9.99755859375,16.822265625,0.00318781965222569
283.0,4.0,0.0179197241110173,9.0,5.0,11.0498046875,16.9765625,0.00300381325703824
283.0,4.0,0.0179546382186259,9.0,5.0,12.037109375,17.130859375,0.00282797804092638
284.0,4.0,0.0179952011978699,9.0,5.0,13.02685546875,16.9765625,0.00263072857640622
284.0,4.0,0.0180329522454059,9.0,5.0,14.013671875,16.822265625,0.0024472899514194
285.0,4.0,0.0180732029302177,9.0,5.0,14.98779296875,16.8740234375,0.00226126930019177
285.0,4.0,0.0181157217558123,9.0,5.0,16.03076171875,17.388671875,0.00207366643323325
285.0,4.0,0.0181262418705756,9.0,5.0,17.03076171875,17.59375,0.00202724926003838
284.0,4.0,0.0181961558539214,9.0,5.0,17.98828125,17.439453125,0.00169655623722064
284.0,4.0,0.0182368691182546,9.0,5.0,19.00927734375,17.388671875,0.00150368753203622
283.0,4.0,0.0182751555084905,9.0,5.0,20.0068359375,17.130859375,0.00131489125787709
283.0,4.0,0.0183111386495511,9.0,5.0,21.029296875,16.9248046875,0.0011274124708791
281.0,4.0,0.0183421526154035,9.0,5.0,21.97216796875,16.4111328125,0.00094648754647153
281.0,4.0,0.0183703325356532,9.0,5.0,22.99462890625,15.125,0.000778119840489921
281.0,4.0,0.0183812644303955,9.0,5.0,23.99609375,13.1181640625,0.000711270566043253
279.0,4.0,0.0184443402800553,9.0,5.0,25.0205078125,10.751953125,0.000491940241886368
279.0,4.0,0.0184604402800587,9.0,5.0,26.0009765625,8.2314453125,0.000388006908551119
281.0,4.0,0.0184733402800603,9.0,5.0,26.9873046875,5.6591796875,0.000312656908548092
283.0,4.0,0.0184833236133954,9.0,5.0,27.9853515625,3.1376953125,0.0002657069085501
286.0,4.0,0.0184900236134026,9.0,5.0,29.0146484375,1.5947265625,0.00024140690854324
287.0,4.0,0.0184938736133943,9.0,5.0,29.9853515625,0.1025390625,0.000232106908555351
287.0,4.0,0.0184938736133943,9.0,5.0,30.9560546875,0.0,0.000232106908555351
287.0,4.0,0.0184938736133943,9.0,5.0,31.95068359375,0.0,0.000232106908555351
288.0,5.0,0.018495640280058,9.0,5.0,32.97314453125,0.6171875,0.000234873575223559
297.0,5.0,0.0185044402800613,9.0,5.0,34.0126953125,2.9326171875,0.000215840241892806
316.0,5.0,0.018456516575668,9.0,5.0,35.0107421875,4.9384765625,0.000160684311666159
9.0,5.0,0.0185841675642493,9.0,5.0,36.046875,6.4306640625,0.000166248159501947
9.0,5.0,0.0186493899437749,9.0,5.0,37.04345703125,8.0771484375,0.000179336509418703
9.0,5.0,0.0187284479798606,9.0,5.0,38.00244140625,10.0830078125,0.000195201297671587
9.0,5.0,0.0188288621936436,9.0,5.0,39.05029296875,11.935546875,0.000215587954571105
9.0,5.0,0.0189459278332009,9.0,5.0,40.00537109375,13.169921875,0.000239483786032224
9.0,5.0,0.0190701919333164,9.0,5.0,41.01953125,14.3017578125,0.000265282036039593
9.0,5.0,0.0192024042027583,9.0,5.0,41.9990234375,15.5361328125,0.000293051289318668
9.0,5.0,0.019345742671291,9.0,5.0,43.0166015625,16.359375,0.000323157437932763
8.0,5.0,0.0194966112307284,9.0,5.0,44.02001953125,16.7705078125,0.000352725056558256
8.0,5.0,0.019647966573828,9.0,5.0,45.02490234375,17.0791015625,0.00038133838698684
8.0,5.0,0.0198021707093332,9.0,5.0,46.0322265625,17.28515625,0.000410403431914119
8.0,5.0,0.0199553246707608,9.0,5.0,46.998046875,17.388671875,0.000439270535579794
8.0,5.0,0.0201117466113203,9.0,5.0,48.02587890625,17.3369140625,0.000468753601793991
7.0,5.0,0.0202631949155005,9.0,5.0,49.017578125,17.0283203125,0.000497214012938229
7.0,5.0,0.0204120659471414,9.0,5.0,50.0166015625,16.1025390625,0.000521345190321653
6.0,5.0,0.0205481815672072,9.0,5.0,51.00390625,14.662109375,0.000542089173791282
6.0,6.0,0.020658246230198,9.0,5.0,52.009765625,12.7578125,0.000557942483837337
7.0,6.0,0.0207757240407815,9.0,5.0,53.02001953125,10.185546875,0.000576305099826868
31.0,6.0,0.020846340280066,9.0,5.0,54.02587890625,8.1796875,0.00065304024188606
59.0,6.0,0.0208978069467278,9.0,5.0,55.1455078125,7.9228515625,0.000715823575220042
87.0,6.0,0.0209164236133929,9.0,5.0,56.0673828125,8.6943359375,0.000807856908537019
100.0,6.0,0.020906523613398,9.0,5.0,57.06201171875,10.443359375,0.000919673575225488
107.0,6.0,0.0209061456051671,9.0,5.0,58.0478515625,12.3984375,0.00105907614516809
107.0,6.0,0.0208690239218753,9.0,5.0,59.025390625,14.0439453125,0.00120401029856509
107.0,6.0,0.0208306467280223,9.0,5.0,60.0341796875,15.330078125,0.00135384634060642
107.0,6.0,0.0207912729722963,9.0,5.0,61.02587890625,16.4619140625,0.0015354202528357
106.0,6.0,0.0207568291102759,9.0,5.0,61.98583984375,17.59375,0.00172483912304244
105.0,6.0,0.0207211305140972,9.0,5.0,63.03466796875,18.9833984375,0.00194775521887891
103.0,6.0,0.0206783154549157,9.0,5.0,63.9755859375,20.2177734375,0.00214066858411854
102.0,6.0,0.020636009855032,9.0,5.0,64.990234375,21.091796875,0.00237327548252608
102.0,6.0,0.0205942209866876,9.0,5.0,66.03515625,21.8125,0.00260910319460094
101.0,6.0,0.02055146304059,9.0,5.0,67.00927734375,22.6357421875,0.00285521221536555
101.0,6.0,0.0205076488478752,9.0,5.0,68.0166015625,23.4072265625,0.00311385762242366
100.0,6.0,0.0204673618777917,9.0,5.0,69.0302734375,24.1279296875,0.00337346823592099
100.0,6.0,0.0204252149386405,9.0,5.0,69.9951171875,24.4873046875,0.00364871988203674
99.0,6.0,0.0203855383751871,9.0,5.0,70.98095703125,24.5390625,0.00391466473921298
99.0,6.0,0.0203451639672564,9.0,5.0,72.00341796875,24.5908203125,0.00420081099358071
99.0,6.0,0.0203099865090052,9.0,5.0,72.99658203125,24.4365234375,0.00446523580973234
99.0,6.0,0.0202772634706533,9.0,5.0,74.0166015625,24.0244140625,0.0047351737211585
98.0,6.0,0.0202474467994804,9.0,5.0,75.04443359375,23.509765625,0.00500188548619462
97.0,6.0,0.0202207586723304,9.0,5.0,75.99658203125,22.7900390625,0.00526054454959989
97.0,6.0,0.0201912845757448,9.0,5.0,77.0185546875,21.8642578125,0.00551508292990377
94.0,6.0,0.0201576697478671,9.0,5.0,78.00146484375,20.8349609375,0.00574639707360802
106.0,6.0,0.020091952901474,9.0,5.0,79.0390625,19.857421875,0.00596046188849186
112.0,6.0,0.0200371821536293,9.0,5.0,79.9970703125,19.4462890625,0.006169365465297
116.0,6.0,0.0199656606947797,9.0,5.0,81.01611328125,19.39453125,0.00637016014135838
120.0,6.0,0.0198821119533434,9.0,5.0,82.013671875,19.2919921875,0.00655891941961783
127.0,6.0,0.0197790919886955,9.0,5.0,83.01171875,19.0341796875,0.00674539990956191
131.0,6.0,0.0196742706607864,9.0,5.0,83.98828125,18.77734375,0.00690214534581912
135.0,6.0,0.0195516950902785,9.0,5.0,84.994140625,18.8291015625,0.00706040703866506
143.0,6.0,0.0194148462143459,9.0,5.0,85.9892578125,19.240234375,0.00720895356421635
147.0,6.0,0.0192742031660273,9.0,5.0,87.013671875,19.548828125,0.00733066416859173
150.0,6.0,0.0191158090030043,9.0,5.0,88.03515625,19.703125,0.00744506838817926
150.0,6.0,0.0189674957306777,9.0,5.0,89.04931640625,19.6005859375,0.00754927735223986
144.0,6.0,0.0188184966062436,9.0,5.0,90.0302734375,19.4970703125,0.00766244258045389
138.0,6.0,0.0186757516280238,9.0,5.0,91.01904296875,19.3427734375,0.00780262092727923
134.0,6.0,0.0185491618649251,9.0,5.0,92.02734375,19.0859375,0.00795231571942167
126.0,6.0,0.0184386540098699,9.0,5.0,93.04296875,18.6748046875,0.00811281923003548
120.0,6.0,0.0183390071407956,9.0,5.0,94.0595703125,18.365234375,0.00829321508331304
116.0,6.0,0.0182564776429359,9.0,5.0,95.046875,18.623046875,0.00848075689253846
110.0,6.0,0.0181921271536111,9.0,5.0,96.0341796875,18.8291015625,0.00867214312479802
102.0,6.0,0.0181415817301626,9.0,5.0,97.0185546875,18.77734375,0.00887943333414398
99.0,5.0,0.0181113060031705,9.0,5.0,98.01123046875,18.5712890625,0.00908284991682251
93.0,5.0,0.0180958496361469,9.0,5.0,99.00146484375,18.46875,0.00928374509683749
86.0,5.0,0.0180960051379273,9.0,5.0,100.01220703125,18.6748046875,0.00950490217580579
79.0,5.0,0.0181140754202999,9.0,5.0,101.072265625,18.9833984375,0.00971049850815575
74.0,5.0,0.0181504281281732,9.0,5.0,102.01708984375,19.2919921875,0.00992744564797476
67.0,5.0,0.018204841464481,9.0,5.0,103.0458984375,19.39453125,0.0101373469792207
64.0,5.0,0.0182748160949799,9.0,5.0,103.982421875,19.4462890625,0.0103330331980657
66.0,5.0,0.018352048342848,9.0,5.0,105.0048828125,19.548828125,0.0105384207210761
69.0,5.0,0.0184160602501819,9.0,5.0,105.99609375,19.6513671875,0.0107388834192647
77.0,5.0,0.0184647560733353,9.0,5.0,106.97509765625,19.9091796875,0.0109549969340321
81.0,5.0,0.0185001087102349,9.0,5.0,107.99365234375,20.474609375,0.0111822991553793
85.0,5.0,0.018518846130803,9.0,5.0,109.0107421875,20.9375,0.0114233679493622
94.0,5.0,0.0185157339947892,9.0,5.0,109.99658203125,21.4521484375,0.0116677767626924
97.0,5.0,0.0184954988335306,9.0,5.0,110.98291015625,21.9150390625,0.0119173749126986
102.0,5.0,0.0184596802986902,9.0,5.0,112.01025390625,22.3271484375,0.0121570339876768
