TimeStamp,x,y,z
-0.44190001487731934,-0.0068359375,-0.408203125,-0.5458984375
-0.3413200378417969,-0.1142578125,-0.0751953125,-0.078125
-0.24024009704589844,-0.083984375,-0.2392578125,-0.158203125
-0.13965988159179688,0.296875,0.337890625,-0.6123046875
-0.03857994079589844,0.787109375,-0.5849609375,-1.458984375
0.06200003623962402,0.4619140625,0.171875,-1.404296875
0.16307997703552246,0.2841796875,-0.142578125,0.0048828125
0.2636599540710449,-0.111328125,-0.2890625,-0.01953125
0.36473989486694336,-0.033203125,0.0537109375,-0.01171875
0.4653201103210449,-0.4638671875,0.44921875,-0.994140625
0.5664000511169434,0.1435546875,-0.193359375,0.4130859375
0.6669800281524658,-0.6123046875,-0.060546875,-0.1201171875
0.7680599689483643,0.05078125,0.4228515625,-0.712890625
0.8686399459838867,0.19921875,0.0361328125,-0.375
0.9697201251983643,0.16015625,-0.357421875,-0.859375
1.0703001022338867,-0.2255859375,0.3720703125,-0.107421875
1.1713800430297852,-0.4765625,0.029296875,0.587890625
1.2724499702453613,-0.1162109375,-0.1103515625,-0.1005859375
1.373039960861206,0.06640625,0.4775390625,0.294921875
1.4741101264953613,-1.0732421875,-0.5849609375,1.9423828125
1.574700117111206,-0.0810546875,0.001953125,-0.498046875
1.6757700443267822,-0.4345703125,0.271484375,-1.0166015625
1.776360034942627,-0.041015625,0.0439453125,-0.0546875
1.8774299621582031,0.287109375,-0.619140625,0.2119140625
1.9780199527740479,0.435546875,-0.369140625,-0.1162109375
2.079090118408203,0.220703125,-0.3583984375,0.1884765625
2.179680109024048,-0.0751953125,0.0810546875,-0.251953125
2.280750036239624,0.205078125,0.16796875,-0.7392578125
2.3813400268554688,-0.025390625,0.181640625,0.0224609375
2.482409954071045,-0.1953125,0.005859375,-0.1533203125
2.5829999446868896,-0.00390625,0.32421875,-0.8681640625
2.684070110321045,-0.19140625,0.142578125,-0.6708984375
2.7846601009368896,-0.3642578125,0.1953125,-1.1796875
2.885730028152466,0.8828125,-0.6240234375,0.2587890625
2.9863200187683105,0.177734375,0.099609375,0.7353515625
3.0873899459838867,-0.86328125,-0.013671875,0.7392578125
3.1879799365997314,-0.2548828125,0.1787109375,-0.6669921875
3.2890501022338867,0.35546875,-0.2578125,-0.591796875
3.390130043029785,-0.203125,0.3408203125,1.328125
3.4907100200653076,0.3349609375,-0.1630859375,-0.6767578125
3.591789960861206,-0.599609375,-0.0205078125,-0.3603515625
3.6923699378967285,0.0263671875,-0.2490234375,0.30078125
3.793450117111206,-0.2578125,0.365234375,-0.57421875
3.8940300941467285,0.248046875,-0.1396484375,0.1748046875
3.995110034942627,0.0654296875,-0.0791015625,0.0830078125
4.095690011978149,0.21484375,0.3955078125,0.4677734375
4.196769952774048,0.3076171875,0.197265625,0.7529296875
